web-scraper-order,web-scraper-start-url,name,link,link-href,image-src,price,rating,price2,price3,price4,data
"1754703551-1","https://ca.iherb.com/c/supplements?p=20","NOW Foods, Vitamin K-2, 100 mcg, 250 Veg Capsules","","https://ca.iherb.com/pr/now-foods-vitamin-k-2-100-mcg-250-veg-capsules/80111","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00991/u/11.jpg","CA$32.83","4.8/5 - 13,223 Reviews","","","",""
"1754703551-2","https://ca.iherb.com/c/supplements?p=20","Nature's Way, Aloe Vera Leaf Juice, Unflavored, 33.8 fl oz (1 L)","","https://ca.iherb.com/pr/nature-s-way-aloe-vera-leaf-juice-unflavored-33-8-fl-oz-1-l/4335","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/nwy/nwy14280/u/59.jpg","CA$27.46","4.8/5 - 10,599 Reviews","","","",""
"1754703551-3","https://ca.iherb.com/c/supplements?p=20","Dymatize, ISO100® Hydrolyzed, 100% Whey Protein Isolate, Cocoa Pebbles, 1.43 lb (650 g)","","https://ca.iherb.com/pr/dymatize-iso100-hydrolyzed-100-whey-protein-isolate-cocoa-pebbles-1-43-lb-650-g/114522","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/dyz/dyz35620/u/32.jpg","CA$70.47","4.7/5 - 898 Reviews","","","",""
"1754703551-4","https://ca.iherb.com/c/supplements?p=20","Enzymedica, Digest Spectrum®, 120 Capsules","","https://ca.iherb.com/pr/enzymedica-digest-spectrum-120-capsules/74624","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/enz/enz29172/u/28.jpg","CA$63.28","4.8/5 - 4,985 Reviews","","","",""
"1754703551-5","https://ca.iherb.com/c/supplements?p=20","California Gold Nutrition, Benfotiamine + Alpha Lipoic Acid and L-Leucine, 90 Veggie Capsules","","https://ca.iherb.com/pr/california-gold-nutrition-benfotiamine-alpha-lipoic-acid-and-l-leucine-90-veggie-capsules/106146","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn02021/u/33.jpg","CA$26.16","4.7/5 - 3,407 Reviews","","","",""
"1754703551-6","https://ca.iherb.com/c/supplements?p=20","NOW Foods, Sports, Amino Complete, 360 Veg Capsules","","https://ca.iherb.com/pr/now-foods-sports-amino-complete-360-veg-capsules/5421","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00013/u/36.jpg","CA$47.47","4.7/5 - 7,628 Reviews","","","",""
"1754703551-7","https://ca.iherb.com/c/supplements?p=20","Sports Research, Whey Protein, Dutch Chocolate, 2.26 lb (1.03 kg)","","https://ca.iherb.com/pr/sports-research-whey-protein-dutch-chocolate-2-26-lb-1-03-kg/138837","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sre/sre09186/u/3.jpg","CA$131.21","4.7/5 - 1,037 Reviews","","","",""
"1754703551-8","https://ca.iherb.com/c/supplements?p=20","Country Life, Natural Omega-3, 1,000 mg, 300 Softgels","","https://ca.iherb.com/pr/country-life-natural-omega-3-1-000-mg-300-softgels/9707","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/clf/clf04450/u/54.jpg","CA$49.52","4.8/5 - 4,391 Reviews","","","",""
"1754703551-9","https://ca.iherb.com/c/supplements?p=20","Source Naturals, Elan Vital™ Multiple, 90 Tablets","","https://ca.iherb.com/pr/source-naturals-elan-vital-multiple-90-tablets/1453","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sns/sns00060/u/45.jpg","CA$42.38","4.6/5 - 432 Reviews","","","",""
"1754703551-10","https://ca.iherb.com/c/supplements?p=20","Advanced Orthomolecular Research AOR, BenaGene™, 30 Capsules","","https://ca.iherb.com/pr/advanced-orthomolecular-research-aor-benagene-30-capsules/33089","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/aor/aor08138/u/49.jpg","CA$58.96","4.8/5 - 466 Reviews","","","",""
"1754703551-11","https://ca.iherb.com/c/supplements?p=20","Doctor's Best, High Absorption CoQ10 , 100 mg, 360 Veggie Caps","","https://ca.iherb.com/pr/doctor-s-best-high-absorption-coq10-100-mg-360-veggie-caps/66422","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/drb/drb00405/u/116.jpg","CA$72.90","4.7/5 - 36,854 Reviews","","","",""
"1754703551-12","https://ca.iherb.com/c/supplements?p=20","Doctor's Best, High Absorption Curcumin, 120 Tablets","","https://ca.iherb.com/pr/doctor-s-best-high-absorption-curcumin-120-tablets/12137","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/drb/drb00195/u/92.jpg","CA$94.55","4.8/5 - 3,728 Reviews","","","",""
"1754703551-13","https://ca.iherb.com/c/supplements?p=20","Source Naturals, Magnesium Malate, 360 Tablets (1,250 mg per Tablet)","","https://ca.iherb.com/pr/source-naturals-magnesium-malate-360-tablets-1-250-mg-per-tablet/19154","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sns/sns00535/u/52.jpg","CA$53.22","4.8/5 - 13,604 Reviews","","","",""
"1754703551-14","https://ca.iherb.com/c/supplements?p=20","KAL, Chelated Magnesium Bisglycinate, 180 Tablets (105 mg per Tablet)","","https://ca.iherb.com/pr/kal-chelated-magnesium-bisglycinate-180-tablets-105-mg-per-tablet/114458","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cal/cal58646/u/24.jpg","CA$19.81","4.8/5 - 5,307 Reviews","","","",""
"1754703551-15","https://ca.iherb.com/c/supplements?p=20","Real Mushrooms, Lion's Mane, Mushroom Extract Powder, 120 Capsules","","https://ca.iherb.com/pr/real-mushrooms-lion-s-mane-mushroom-extract-powder-120-capsules/112246","https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/rms/rms06804/u/24.jpg","","4.7/5 - 5,546 Reviews","","","",""
